"bin","n","mean_predicted","observed"
"[0,0.1]",724,0.0551096460113401,0.0649171270718232
"(0.1,0.2]",427,0.144217225358534,0.156908665105386
"(0.2,0.3]",270,0.248450604711699,0.277777777777778
"(0.3,0.4]",200,0.348822994786145,0.375
"(0.4,0.5]",141,0.447296588357377,0.468085106382979
"(0.5,0.6]",83,0.552364072724206,0.614457831325301
"(0.6,0.7]",54,0.648775429885727,0.685185185185185
"(0.7,0.8]",45,0.751158154528714,0.777777777777778
"(0.8,0.9]",42,0.846208618899967,0.785714285714286
"(0.9,1]",14,0.938716913664314,1
