"group_variable","group","n","schools","positives","flagged","true_positives","prevalence","flagged_rate","sensitivity","sensitivity_lower","sensitivity_upper","precision","precision_lower","precision_upper","brier_score","suppressed"
"gender","Female",996,30,272,183,122,0.273092369477912,0.183734939759036,0.448529411764706,0.387398000815994,0.50760989010989,0.666666666666667,0.606384065372829,0.733695652173913,0.150842196041171,FALSE
"gender","Male",959,30,224,164,102,0.233576642335766,0.171011470281543,0.455357142857143,0.372800462249615,0.534279061272943,0.621951219512195,0.539715099086375,0.697453703703704,0.134228644889609,FALSE
"gender","Nonbinary",45,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"race_ethnicity","Black",403,30,91,65,43,0.225806451612903,0.161290322580645,0.472527472527473,0.375,0.571428571428571,0.661538461538462,0.566037735849057,0.763636363636364,0.131046061952696,FALSE
"race_ethnicity","White",401,30,111,76,52,0.276807980049875,0.189526184538653,0.468468468468468,0.362884753042233,0.582989130434783,0.684210526315789,0.568928571428571,0.783132530120482,0.146988321914904,FALSE
"race_ethnicity","Asian",371,30,103,67,44,0.277628032345013,0.180592991913747,0.427184466019417,0.32733267158253,0.519407603890362,0.656716417910448,0.555555555555556,0.746478873239437,0.153154442406875,FALSE
"race_ethnicity","Multiracial",421,30,103,73,45,0.244655581947743,0.173396674584323,0.436893203883495,0.356375896210311,0.510014005602241,0.616438356164384,0.528154761904762,0.724343891402715,0.137497478592206,FALSE
"race_ethnicity","Hispanic",404,30,92,71,41,0.227722772277228,0.175742574257426,0.445652173913043,0.351123876123876,0.54984375,0.577464788732394,0.45922684980062,0.695400318133616,0.138561493095044,FALSE
"economically_disadvantaged","0",1106,30,147,58,29,0.132911392405063,0.0524412296564195,0.197278911564626,0.140889970696663,0.260845700567438,0.5,0.360190305790501,0.640480977420353,0.100433145352164,FALSE
"economically_disadvantaged","1",894,30,353,294,196,0.394854586129754,0.328859060402685,0.555240793201133,0.495038125140166,0.609719554509124,0.666666666666667,0.603142177753073,0.723444055944056,0.191678301035779,FALSE
"multilingual_learner","0",1562,30,396,276,180,0.253521126760563,0.176696542893726,0.454545454545455,0.402087469046108,0.504507760041816,0.652173913043478,0.590630502837018,0.702010608116443,0.141956277789138,FALSE
"multilingual_learner","1",438,30,104,76,45,0.237442922374429,0.17351598173516,0.432692307692308,0.340777972027972,0.53554081632653,0.592105263157895,0.487154605263158,0.6963013478819,0.138593045613806,FALSE
"disability_status","0",1721,30,401,269,168,0.233004067402673,0.15630447414294,0.418952618453865,0.367879885814668,0.469816272965879,0.62453531598513,0.557654775521876,0.682883600291227,0.136759417767437,FALSE
"disability_status","1",279,30,99,83,57,0.354838709677419,0.297491039426523,0.575757575757576,0.484614782336361,0.668229166666667,0.686746987951807,0.6,0.768492618492618,0.168732981748106,FALSE
